	meth pos	observed CpG	expected CpG	CpG bias	meth density	median meth %
SpisGene72	39	32	95.55	0.3349	60.94	80.95
SpisGene73	12	464	599.05	0.7746	1.29	18.2
SpisGene74	14	271	365.68	0.7411	2.58	60.26
SpisGene75	0	590	669.75	0.8809	0	0
SpisGene76	3	653	808.01	0.8082	0.23	14.29
SpisGene77	0	67	68.26	0.9815	0	0
SpisGene78	0	76	79.32	0.9581	0	0
SpisGene79	75	63	192.82	0.3267	59.52	81.25
SpisGene80	23	74	158.53	0.4668	15.54	90.0
SpisGene81	123	216	442.84	0.4878	28.47	84.62
SpisGene82	0	345	394.23	0.8751	0	0
SpisGene83	63	182	331.77	0.5486	17.31	78.26
SpisGene84	2	351	402.48	0.8721	0.28	0.0
SpisGene85	73	149	237.49	0.6274	24.5	43.75
SpisGene86	80	56	192.92	0.2903	71.43	87.08
SpisGene87	17	45	77.5	0.5806	18.89	54.55
SpisGene88	39	43	180.31	0.2385	45.35	71.43
SpisGene89	0	42	128.05	0.328	0	0
SpisGene90	26	29	90.59	0.3201	44.83	73.86
SpisGene91	57	68	214.65	0.3168	41.91	85.71
SpisGene92	0	68	143.91	0.4725	0	0
SpisGene93	86	156	247.37	0.6306	27.56	81.25
SpisGene94	191	115	255.58	0.45	83.04	85.71
SpisGene95	39	109	149.93	0.727	17.89	66.67
SpisGene96	0	128	188.45	0.6792	0	0
SpisGene97	0	30	27.76	1.0807	0	0
SpisGene98	0	495	501.44	0.9872	0	0
SpisGene99	16	26	107.05	0.2429	30.77	86.61
SpisGene100	63	129	138.85	0.9291	24.42	80.95
SpisGene101	0	113	153.05	0.7383	0	0
SpisGene102	4	170	206.26	0.8242	1.18	9.99
SpisGene103	0	269	356.08	0.7554	0	0
SpisGene104	0	119	176.89	0.6727	0	0
SpisGene105	0	88	129.1	0.6816	0	0
SpisGene106	0	154	205.55	0.7492	0	0
SpisGene107	0	31	29.29	1.0584	0	0
SpisGene108	0	121	158.12	0.7652	0	0
SpisGene109	0	413	474.66	0.8701	0	0
SpisGene110	0	133	168.75	0.7881	0	0
SpisGene111	30	80	300.2	0.2665	18.75	85.68
SpisGene112	8	26	77.24	0.3366	15.38	90.6
SpisGene113	0	37	42.76	0.8653	0	0
SpisGene114	22	130	267.05	0.4868	8.46	81.8
SpisGene115	20	31	70.04	0.4426	32.26	88.24
SpisGene116	108	793	1013.2	0.7827	6.81	66.03
SpisGene117	61	96	174.62	0.5498	31.77	82.35
SpisGene118	16	441	472.65	0.933	1.81	9.52
SpisGene119	0	143	161.54	0.8852	0	0
SpisGene120	0	85	105.88	0.8028	0	0
SpisGene121	0	236	284.54	0.8294	0	0
SpisGene122	158	311	473.5	0.6568	25.4	75.0
SpisGene123	72	324	385.52	0.8404	11.11	65.22
SpisGene124	44	51	147.18	0.3465	43.14	87.45
SpisGene125	171	237	370.49	0.6397	36.08	44.44
SpisGene126	5	189	188.41	1.0031	1.32	5.88
SpisGene127	93	145	249.96	0.5801	32.07	81.25
SpisGene128	115	483	580.48	0.8321	11.9	61.9
SpisGene129	0	88	205.36	0.4285	0	0
SpisGene130	22	34	100.41	0.3386	32.35	82.21
SpisGene131	44	57	123.77	0.4605	38.6	82.41
SpisGene132	32	52	120.03	0.4332	30.77	85.83
SpisGene133	0	139	146.61	0.9481	0	0
SpisGene134	42	153	189.52	0.8073	13.73	85.36
SpisGene135	0	44	119.23	0.369	0	0
SpisGene136	52	51	112.64	0.4528	50.98	83.97
SpisGene137	26	25	110.78	0.2257	52.0	84.62
SpisGene138	0	160	211.05	0.7581	0	0
SpisGene139	22	338	387.27	0.8728	3.25	77.78
SpisGene140	18	27	82.91	0.3257	33.33	39.23
SpisGene141	134	221	485.54	0.4552	30.32	85.0
SpisGene142	120	365	550.6	0.6629	16.44	78.95
SpisGene143	30	46	80.44	0.5719	32.61	74.58
SpisGene144	185	175	373.86	0.4681	52.86	52.94
SpisGene145	0	137	154.9	0.8844	0	0
SpisGene146	0	104	143.62	0.7241	0	0
SpisGene147	90	72	235.67	0.3055	62.5	86.67
SpisGene148	175	352	597.17	0.5894	24.86	60.71
SpisGene149	0	273	294.71	0.9263	0	0
SpisGene150	0	18	21.31	0.8447	0	0
SpisGene151	0	389	401.93	0.9678	0	0
SpisGene152	0	228	275.3	0.8282	0	0
SpisGene153	39	619	641.94	0.9643	3.15	11.76
SpisGene155	2	206	262.87	0.7837	0.49	12.32
SpisGene156	0	99	143.57	0.6896	0	0
SpisGene157	0	210	217.02	0.9677	0	0
SpisGene158	0	137	154.5	0.8867	0	0
SpisGene159	36	442	586.26	0.7539	4.07	69.92
SpisGene160	30	55	111.74	0.4922	27.27	77.78
SpisGene161	0	60	114.66	0.5233	0	0
SpisGene162	31	36	96.0	0.375	43.06	87.5
SpisGene163	173	347	666.95	0.5203	24.93	87.5
SpisGene164	106	84	250.5	0.3353	63.1	87.87
SpisGene165	95	78	245.12	0.3182	60.9	88.89
SpisGene166	16	25	73.23	0.3414	32.0	87.5
SpisGene167	19	271	345.28	0.7849	3.51	85.71
SpisGene168	30	420	480.56	0.874	3.57	7.35
SpisGene169	0	50	60.78	0.8226	0	0
SpisGene170	153	114	253.37	0.4499	67.11	77.27
SpisGene171	0	256	279.13	0.9171	0	0
SpisGene172	115	412	723.83	0.5692	13.96	83.33
SpisGene173	18	47	98.41	0.4776	19.15	81.59
SpisGene174	5	786	817.74	0.9612	0.32	30.0
SpisGene175	2	711	765.02	0.9294	0.14	14.72
SpisGene176	70	90	203.82	0.4416	38.89	56.39
SpisGene177	113	87	258.8	0.3362	64.94	81.25
SpisGene178	49	85	146.28	0.5811	28.82	86.67
SpisGene179	15	27	100.35	0.2691	27.78	57.89
SpisGene180	0	151	157.13	0.961	0	0
SpisGene181	74	63	198.97	0.3166	58.73	60.0
SpisGene182	46	57	109.72	0.5195	40.35	72.73
SpisGene183	72	48	118.17	0.4062	75.0	91.99
SpisGene184	230	166	298.64	0.5559	69.28	80.62
SpisGene185	169	126	371.94	0.3388	67.06	78.57
SpisGene186	95	59	175.76	0.3357	80.51	91.67
SpisGene187	253	200	479.85	0.4168	63.25	90.0
SpisGene188	35	48	87.52	0.5484	36.46	91.67
SpisGene189	0	6	46.27	0.1297	0	0
SpisGene190	27	127	169.92	0.7474	10.63	81.25
SpisGene191	30	53	143.97	0.3681	28.3	86.11
SpisGene192	67	87	258.18	0.337	38.51	87.5
SpisGene193	4	59	117.21	0.5034	3.39	89.44
SpisGene194	0	58	29.71	1.9522	0	0
SpisGene195	0	50	55.14	0.9068	0	0
SpisGene196	14	209	238.63	0.8758	3.35	8.73
SpisGene197	0	171	196.47	0.8704	0	0
SpisGene198	0	112	127.17	0.8807	0	0
SpisGene199	0	43	57.61	0.7464	0	0
SpisGene200	0	247	295.54	0.8358	0	0
SpisGene201	7	583	651.35	0.8951	0.6	7.69
SpisGene202	0	100	119.58	0.8363	0	0
SpisGene203	91	454	368.84	1.2309	10.02	25.25
SpisGene204	0	25	63.33	0.3948	0	0
SpisGene205	43	159	319.98	0.4969	13.52	86.67
SpisGene206	0	115	107.34	1.0714	0	0
SpisGene207	0	203	216.35	0.9383	0	0
SpisGene208	0	52	60.29	0.8625	0	0
SpisGene209	0	116	96.43	1.2029	0	0
SpisGene210	65	271	354.49	0.7645	11.99	90.0
SpisGene211	0	240	265.59	0.9036	0	0
SpisGene212	167	287	347.44	0.826	29.09	85.0
SpisGene213	0	215	239.79	0.8966	0	0
SpisGene214	36	57	124.61	0.4574	31.58	70.71
SpisGene215	0	135	312.7	0.4317	0	0
SpisGene216	124	139	295.13	0.471	44.6	88.89
SpisGene218	208	459	636.5	0.7211	22.66	78.57
SpisGene219	22	84	155.24	0.5411	13.1	81.18
SpisGene220	0	318	281.28	1.1305	0	0
SpisGene221	0	68	61.52	1.1053	0	0
SpisGene222	27	31	87.72	0.3534	43.55	76.92
SpisGene223	36	28	64.01	0.4374	64.29	80.0
SpisGene224	37	145	196.87	0.7365	12.76	35.29
SpisGene225	77	58	201.59	0.2877	66.38	86.67
SpisGene226	54	66	155.39	0.4247	40.91	81.25
SpisGene227	39	85	173.3	0.4905	22.94	86.36
SpisGene228	0	79	65.29	1.21	0	0
SpisGene229	159	291	504.68	0.5766	27.32	68.18
SpisGene230	0	31	28.96	1.0704	0	0
SpisGene231	0	136	140.67	0.9668	0	0
SpisGene232	0	462	445.29	1.0375	0	0
SpisGene233	0	226	280.29	0.8063	0	0
SpisGene234	0	127	142.69	0.89	0	0
SpisGene235	0	189	185.65	1.018	0	0
SpisGene236	0	396	375.85	1.0536	0	0
SpisGene237	0	108	104.83	1.0302	0	0
SpisGene238	61	185	271.54	0.6813	16.49	88.24
SpisGene239	0	101	97.41	1.0369	0	0
SpisGene240	66	191	290.56	0.6574	17.28	89.44
SpisGene241	30	559	697.07	0.8019	2.68	86.04
SpisGene242	63	62	133.5	0.4644	50.81	56.25
SpisGene243	47	52	184.29	0.2822	45.19	78.57
SpisGene244	2	180	170.48	1.0558	0.56	5.28
SpisGene245	4	214	226.64	0.9442	0.93	4.08
SpisGene246	0	54	89.37	0.6042	0	0
SpisGene247	26	1049	1271.3	0.8251	1.24	10.91
SpisGene248	140	1513	1806.16	0.8377	4.63	16.95
SpisGene249	8	1208	1423.03	0.8489	0.33	9.88
SpisGene250	0	400	473.54	0.8447	0	0
SpisGene251	0	37	52.31	0.7073	0	0
SpisGene252	0	89	94.12	0.9456	0	0
SpisGene253	240	305	305.3	0.999	39.34	12.62
SpisGene254	3	100	86.15	1.1608	1.5	4.35
SpisGene255	31	301	431.7	0.6972	5.15	12.12
SpisGene256	8	100	170.14	0.5878	4.0	3.56
SpisGene257	12	77	167.13	0.4607	7.79	16.67
SpisGene258	67	191	267.95	0.7128	17.54	13.16
SpisGene259	0	50	85.21	0.5868	0	0
SpisGene260	0	142	206.28	0.6884	0	0
SpisGene261	0	259	377.33	0.6864	0	0
SpisGene262	0	219	300.09	0.7298	0	0
SpisGene263	4	55	146.96	0.3743	3.64	29.11
SpisGene264	0	103	173.63	0.5932	0	0
SpisGene265	0	38	60.04	0.6329	0	0
SpisGene266	15	434	617.96	0.7023	1.73	20.69
SpisGene267	5	874	927.07	0.9428	0.29	3.92
SpisGene268	80	291	493.24	0.59	13.75	77.35
SpisGene269	265	532	901.19	0.5903	24.91	84.62
SpisGene270	55	258	419.28	0.6153	10.66	80.95
SpisGene271	137	175	274.13	0.6384	39.14	84.62
SpisGene272	14	43	72.26	0.5951	16.28	30.0
SpisGene273	91	228	423.85	0.5379	19.96	86.67
SpisGene274	0	363	396.34	0.9159	0	0
SpisGene275	0	90	91.13	0.9876	0	0
SpisGene276	73	117	317.37	0.3687	31.2	86.36
SpisGene277	263	309	381.33	0.8103	42.56	90.0
SpisGene278	0	1113	1232.12	0.9033	0	0
SpisGene279	244	816	1263.15	0.646	14.95	54.92
SpisGene280	0	225	224.28	1.0032	0	0
SpisGene281	278	211	551.27	0.3828	65.88	85.71
SpisGene282	125	118	293.49	0.4021	52.97	80.95
SpisGene283	48	129	191.97	0.672	18.6	84.81
SpisGene284	230	148	399.32	0.3706	77.7	85.71
SpisGene285	40	21	80.78	0.26	95.24	83.97
SpisGene286	0	279	327.21	0.8527	0	0
SpisGene287	39	538	621.44	0.8657	3.62	20.0
SpisGene288	0	345	388.25	0.8886	0	0
SpisGene289	5	426	524.93	0.8115	0.59	20.0
SpisGene290	67	72	228.51	0.3151	46.53	84.0
SpisGene291	258	179	391.39	0.4573	72.07	84.81
SpisGene292	60	163	348.4	0.4679	18.4	89.18
SpisGene293	2	150	183.87	0.8158	0.67	27.4
SpisGene294	0	154	114.63	1.3435	0	0
SpisGene295	108	416	561.28	0.7412	12.98	85.71
SpisGene296	76	94	192.07	0.4894	40.43	89.18
SpisGene297	0	104	136.78	0.7603	0	0
SpisGene298	45	102	215.6	0.4731	22.06	81.82
SpisGene299	20	106	177.13	0.5984	9.43	56.68
SpisGene300	42	524	673.61	0.7779	4.01	70.29
SpisGene301	78	116	256.15	0.4529	33.62	83.97
SpisGene302	313	341	670.07	0.5089	45.89	87.5
SpisGene303	111	325	596.63	0.5447	17.08	83.33
SpisGene304	14	594	563.45	1.0542	1.18	8.78
SpisGene305	0	187	210.69	0.8876	0	0
SpisGene306	0	171	198.38	0.862	0	0
SpisGene307	0	181	221.73	0.8163	0	0
SpisGene308	0	154	183.68	0.8384	0	0
SpisGene309	51	83	190.79	0.435	30.72	84.62
SpisGene310	0	518	563.2	0.9197	0	0
SpisGene311	37	596	712.51	0.8365	3.1	73.33
SpisGene312	58	278	410.84	0.6767	10.43	79.47
SpisGene313	69	464	765.58	0.6061	7.44	84.62
SpisGene314	36	42	108.23	0.3881	42.86	87.23
SpisGene315	122	353	538.11	0.656	17.28	43.3
SpisGene316	99	155	264.01	0.5871	31.94	74.07
SpisGene317	165	99	334.26	0.2962	83.33	80.0
SpisGene318	37	81	137.67	0.5884	22.84	88.24
SpisGene319	43	66	174.58	0.3781	32.58	72.73
SpisGene320	0	44	80.45	0.5469	0	0
SpisGene321	0	394	453.47	0.8689	0	0
SpisGene322	47	42	99.98	0.4201	55.95	14.29
SpisGene323	24	480	657.95	0.7295	2.5	23.86
SpisGene324	6	63	137.56	0.458	4.76	20.47
SpisGene325	0	34	103.2	0.3295	0	0
SpisGene326	0	136	153.96	0.8833	0	0
SpisGene327	28	365	566.56	0.6442	3.84	21.54
SpisGene328	30	155	178.15	0.8701	9.68	12.5
SpisGene329	10	29	95.04	0.3051	17.24	31.01
SpisGene330	26	88	91.88	0.9578	14.77	46.06
SpisGene331	86	56	117.28	0.4775	76.79	26.85
SpisGene332	1	334	290.64	1.1492	0.15	23.08
SpisGene333	32	16	49.85	0.321	100.0	35.29
SpisGene334	65	36	80.24	0.4487	90.28	35.48
SpisGene335	16	62	83.26	0.7447	12.9	76.79
SpisGene336	456	378	493.69	0.7657	60.32	83.77
SpisGene337	249	350	602.98	0.5805	35.57	88.89
SpisGene338	0	36	64.01	0.5624	0	0
SpisGene339	62	57	149.49	0.3813	54.39	76.63
SpisGene340	6	19	33.53	0.5667	15.79	86.63
SpisGene341	188	114	484.09	0.2355	82.46	85.71
SpisGene342	0	62	77.54	0.7996	0	0
SpisGene343	2	392	423.76	0.9251	0.26	18.92
SpisGene344	137	107	285.21	0.3752	64.02	88.24
SpisGene345	80	2365	3004.02	0.7873	1.69	85.36
SpisGene346	41	219	285.22	0.7678	9.36	44.0
SpisGene347	16	399	505.03	0.7901	2.01	26.2
SpisGene348	48	235	341.3	0.6885	10.21	68.75
SpisGene349	0	117	197.13	0.5935	0	0
SpisGene350	5	189	225.39	0.8385	1.32	20.0
SpisGene351	0	44	49.0	0.898	0	0
SpisGene352	118	133	315.86	0.4211	44.36	85.96
SpisGene353	250	478	734.38	0.6509	26.15	83.97
SpisGene354	0	202	250.58	0.8061	0	0
SpisGene355	75	343	588.48	0.5829	10.93	87.5
SpisGene356	100	75	116.31	0.6448	66.67	80.62
SpisGene357	390	257	698.15	0.3681	75.88	69.62
SpisGene358	106	53	70.41	0.7527	100.0	23.44
SpisGene359	8	681	843.53	0.8073	0.59	33.33
SpisGene360	563	479	938.75	0.5103	58.77	88.24
SpisGene361	460	577	1259.66	0.4581	39.86	81.82
SpisGene362	41	291	408.98	0.7115	7.04	55.0
SpisGene363	6	228	205.25	1.1108	1.32	15.54
SpisGene364	6	75	97.5	0.7692	4.0	6.71
SpisGene365	0	44	73.05	0.6023	0	0
SpisGene366	0	56	71.05	0.7882	0	0
SpisGene367	60	167	274.2	0.609	17.96	82.84
SpisGene368	75	172	259.22	0.6635	21.8	92.86
SpisGene369	171	127	245.59	0.5171	67.32	69.23
SpisGene370	211	234	395.96	0.591	45.09	89.47
SpisGene371	38	22	74.47	0.2954	86.36	51.19
SpisGene372	69	788	1097.78	0.7178	4.38	78.57
SpisGene373	0	55	59.77	0.9202	0	0
SpisGene374	0	68	72.98	0.9318	0	0
SpisGene375	0	101	126.05	0.8013	0	0
SpisGene376	2	277	324.77	0.8529	0.36	4.93
SpisGene377	481	289	469.57	0.6155	83.22	80.95
SpisGene378	484	361	860.36	0.4196	67.04	85.71
SpisGene379	0	253	303.07	0.8348	0	0
SpisGene380	4	594	560.44	1.0599	0.34	4.85
SpisGene381	0	51	76.62	0.6656	0	0
SpisGene382	567	466	630.88	0.7387	60.84	83.33
SpisGene383	1119	1240	1641.33	0.7555	45.12	57.14
SpisGene384	0	40	94.86	0.4217	0	0
SpisGene385	0	86	117.35	0.7329	0	0
SpisGene386	0	50	67.63	0.7393	0	0
SpisGene387	0	54	106.84	0.5054	0	0
SpisGene389	0	94	129.07	0.7283	0	0
SpisGene391	25	235	260.38	0.9025	5.32	5.56
SpisGene392	0	203	276.69	0.7337	0	0
SpisGene393	57	269	376.76	0.714	10.59	17.65
SpisGene394	2	313	302.93	1.0332	0.32	8.58
SpisGene395	0	64	76.2	0.8399	0	0
SpisGene396	0	60	66.05	0.9084	0	0
SpisGene397	0	56	72.98	0.7673	0	0
SpisGene398	213	408	725.0	0.5628	26.1	77.78
SpisGene399	0	331	331.31	0.9991	0	0
SpisGene400	212	2023	2594.58	0.7797	5.24	72.08
SpisGene401	138	496	754.62	0.6573	13.91	83.77
SpisGene402	0	98	94.0	1.0426	0	0
SpisGene403	59	52	207.82	0.2502	56.73	78.57
SpisGene404	9	486	474.53	1.0242	0.93	0.0
SpisGene405	0	62	82.77	0.7491	0	0
SpisGene406	4	441	534.23	0.8255	0.45	0.0
SpisGene407	77	546	643.86	0.848	7.05	50.0
SpisGene408	109	274	423.67	0.6467	19.89	76.19
SpisGene409	0	269	409.66	0.6566	0	0
SpisGene410	125	233	360.33	0.6466	26.82	76.19
SpisGene411	46	51	156.76	0.3253	45.1	76.79
SpisGene412	0	33	59.0	0.5593	0	0
SpisGene413	0	112	134.18	0.8347	0	0
SpisGene414	0	104	125.46	0.8289	0	0
SpisGene415	57	53	151.39	0.3501	53.77	84.0
SpisGene416	141	336	531.8	0.6318	20.98	83.33
SpisGene417	71	541	610.49	0.8862	6.56	29.17
SpisGene418	0	91	107.72	0.8448	0	0
SpisGene419	0	329	335.25	0.9814	0	0
SpisGene420	10	36	86.47	0.4163	13.89	47.33
SpisGene421	94	260	390.73	0.6654	18.08	69.23
SpisGene422	163	95	256.07	0.371	85.79	87.5
SpisGene423	212	121	248.42	0.4871	87.6	88.89
SpisGene424	23	41	86.55	0.4737	28.05	88.89
SpisGene425	229	268	346.07	0.7744	42.72	85.71
SpisGene427	138	774	1029.11	0.7521	8.91	69.78
SpisGene428	0	151	173.78	0.8689	0	0
SpisGene429	350	241	428.66	0.5622	72.61	86.67
SpisGene430	73	165	268.74	0.614	22.12	50.0
SpisGene431	174	115	250.46	0.4592	75.65	90.91
SpisGene432	62	483	522.22	0.9249	6.42	28.6
SpisGene433	180	192	346.23	0.5545	46.88	78.89
SpisGene434	171	780	1273.62	0.6124	10.96	81.82
SpisGene435	14	151	227.94	0.6625	4.64	62.88
SpisGene436	0	396	447.38	0.8852	0	0
SpisGene437	32	856	1010.87	0.8468	1.87	68.27
SpisGene438	53	61	83.37	0.7317	43.44	66.67
SpisGene439	0	148	152.53	0.9703	0	0
SpisGene440	57	141	262.87	0.5364	20.21	75.0
SpisGene441	0	18	29.3	0.6143	0	0
SpisGene442	27	153	170.13	0.8993	8.82	43.75
SpisGene443	16	397	522.28	0.7601	2.02	38.64
SpisGene444	30	39	107.53	0.3627	38.46	61.94
SpisGene445	0	138	169.0	0.8166	0	0
SpisGene446	10	447	530.58	0.8425	1.12	16.23
SpisGene447	39	55	144.53	0.3805	35.45	89.47
SpisGene448	158	124	409.61	0.3027	63.71	88.56
SpisGene449	33	17	78.55	0.2164	97.06	78.57
SpisGene450	62	49	130.33	0.376	63.27	89.18
SpisGene451	0	204	241.4	0.8451	0	0
SpisGene452	51	57	149.68	0.3808	44.74	57.14
SpisGene453	129	408	467.41	0.8729	15.81	75.0
SpisGene454	0	245	274.63	0.8921	0	0
SpisGene455	17	57	63.43	0.8986	14.91	17.65
SpisGene456	1	560	821.16	0.682	0.09	16.67
SpisGene457	2	41	73.11	0.5608	2.44	33.64
SpisGene458	20	148	179.2	0.8259	6.76	10.1
SpisGene459	154	721	1042.97	0.6913	10.68	79.29
SpisGene460	30	28	101.18	0.2767	53.57	88.56
SpisGene461	0	81	112.79	0.7181	0	0
SpisGene462	58	59	117.21	0.5034	49.15	84.21
SpisGene463	2	171	182.98	0.9345	0.58	11.9
SpisGene464	0	203	216.55	0.9374	0	0
SpisGene465	30	30	97.91	0.3064	50.0	88.19
SpisGene466	19	40	94.79	0.422	23.75	68.42
SpisGene467	3	456	488.01	0.9344	0.33	13.33
SpisGene468	44	1832	2164.97	0.8462	1.2	75.0
SpisGene469	0	168	200.78	0.8367	0	0
SpisGene470	0	123	135.94	0.9048	0	0
SpisGene471	0	523	624.8	0.8371	0	0
SpisGene472	0	338	315.02	1.0729	0	0
SpisGene473	0	285	392.42	0.7263	0	0
SpisGene474	0	254	266.98	0.9514	0	0
SpisGene475	0	73	72.84	1.0022	0	0
SpisGene476	6	46	76.77	0.5992	6.52	90.91
SpisGene477	0	188	191.28	0.9829	0	0
SpisGene478	10	55	87.81	0.6264	9.09	91.61
SpisGene479	119	83	284.23	0.292	71.69	87.5
SpisGene480	7	20	56.3	0.3552	17.5	58.33
SpisGene481	4	30	62.52	0.4798	6.67	38.45
SpisGene482	0	69	81.24	0.8493	0	0
SpisGene483	101	238	400.92	0.5936	21.22	82.61
SpisGene484	0	16	34.71	0.461	0	0
SpisGene485	0	205	334.77	0.6124	0	0
SpisGene486	0	55	67.36	0.8165	0	0
SpisGene487	0	121	131.8	0.9181	0	0
SpisGene488	0	240	268.86	0.8927	0	0
SpisGene489	0	99	98.41	1.006	0	0
SpisGene490	308	1101	1525.59	0.7217	13.99	82.97
SpisGene491	10	273	404.43	0.675	1.83	69.64
SpisGene492	83	178	219.2	0.812	23.31	61.54
SpisGene493	59	188	319.47	0.5885	15.69	86.67
SpisGene494	0	74	84.04	0.8805	0	0
SpisGene495	0	52	66.58	0.781	0	0
SpisGene496	112	425	581.92	0.7303	13.18	69.21
SpisGene497	102	109	196.71	0.5541	46.79	87.5
SpisGene498	46	70	112.17	0.6241	32.86	78.36
SpisGene499	55	188	256.22	0.7337	14.63	78.95
SpisGene500	0	38	37.46	1.0144	0	0
SpisGene501	0	73	89.92	0.8118	0	0
SpisGene502	98	197	185.43	1.0624	24.87	82.09
SpisGene503	2	154	164.8	0.9345	0.65	0.0
SpisGene504	0	114	167.21	0.6818	0	0
SpisGene505	0	82	12.95	6.332	0	0
SpisGene506	0	64	76.72	0.8342	0	0
SpisGene507	14	290	306.84	0.9451	2.41	5.56
SpisGene508	0	126	127.99	0.9845	0	0
SpisGene510	78	2129	2195.01	0.9699	1.83	80.91
SpisGene511	206	280	541.2	0.5174	36.79	87.5
SpisGene512	169	167	242.44	0.6888	50.6	86.36
SpisGene513	39	173	251.2	0.6887	11.27	70.0
SpisGene514	73	458	552.72	0.8286	7.97	87.5
SpisGene515	0	73	62.29	1.1719	0	0
SpisGene516	18	69	111.68	0.6178	13.04	83.77
SpisGene517	0	231	217.57	1.0617	0	0
SpisGene518	0	118	118.53	0.9955	0	0
SpisGene519	82	67	188.51	0.3554	61.19	80.0
SpisGene520	0	45	155.38	0.2896	0	0
SpisGene521	78	67	183.09	0.3659	58.21	86.67
SpisGene522	18	36	71.3	0.5049	25.0	84.62
SpisGene523	52	71	141.62	0.5013	36.62	91.99
SpisGene524	94	67	279.53	0.2397	70.15	90.0
SpisGene525	127	118	337.14	0.35	53.81	88.24
SpisGene526	0	97	95.56	1.0151	0	0
SpisGene527	0	17	14.43	1.1781	0	0
SpisGene528	0	145	182.59	0.7941	0	0
SpisGene529	36	43	116.17	0.3701	41.86	53.86
SpisGene530	0	94	238.66	0.3939	0	0
